run,Targx/Hall Coord,Targy/Hall Coord
1672,-0.7609,0.6807
1673,-0.7675,0.6934
1676,-0.6745,0.8551
20807,-0.8592,0.7883
20809,-0.8902,0.6457
20804,-0.7609,0.6806
20805,-0.7537,0.6701
20806,-0.8279,0.7873
1675,-0.8825,0.7946
1677,-0.8947,0.659
1693,0.314,-0.4061
1694,-0.7409,0.4932
1695,-0.7393,0.5048
1696,-0.7453,0.4971
20824,0.314,-0.4056
20825,-0.7409,0.4931
20826,-0.7522,0.5059
20827,-0.7571,0.5107
2230,-0.2,-0.501
2239,3.7944,-0.5007
2240,-0.2004,-0.4996
2241,-3.2,-0.4986
2242,2.7969,-0.4979
2243,1.7868,-3.5004
2244,1.7921,-3.4975
2245,-2.2083,-3.497
2246,-0.1952,-3.5004
2247,-0.1942,-0.499
2256,-0.1973,-0.4995
2257,-0.2005,-0.4984
21363,3.7988,-0.5012
21364,-0.2005,-0.4994
21365,-3.2,-0.4985
21366,2.797,-0.4979
21367,1.7864,-3.5015
21368,1.7921,-3.4975
21370,-0.1967,-3.5015
21381,-0.1941,-0.4988
21380,-0.1973,-0.4995
2550,-0.1085981351,-0.2023768663
2551,-0.201924696,-0.1020215831
2552,-0.2076162698,-0.2967950374
2553,-0.002098991246,-0.2986116161
2554,-0.004955063502,-0.09811090872
2555,-0.09329322575,-0.1947557128
2556,-0.1129699651,-0.2035104158
2557,-0.2053038088,-0.1042611207
2558,-0.2012244123,-0.2978126394
2559,-0.008613651519,-0.3017215506
2560,0.003036744491,-0.1023522174
2561,0.001267719797,-0.1006212704
2562,0.004976255342,-0.2915424296
2563,-0.2022485395,-0.2959276736
2564,-0.2113749987,-0.09960095026
2565,-0.09971620904,-0.1999488472
2566,-0.09789592627,-0.2022647066
2567,-0.1910203319,-0.1007772223
2568,-0.1984316297,-0.3009490263
2569,0.00677501046,-0.304567869
2570,0.007572266986,-0.1018808426
21626,-0.1087889227,-0.2020845988
21627,-0.2019528803,-0.1018988632
21628,-0.207645674,-0.2968087259
21629,-0.001999088966,-0.2986304047
21630,-0.004932907577,-0.09811314746
21631,-0.09306753146,-0.1952993012
21632,-0.1129274599,-0.203599746
21633,-0.2054820755,-0.1041864416
21634,-0.2010041832,-0.2979797592
21635,-0.008236048942,-0.302039488
21636,0.003347264368,-0.1023270583
21637,0.0035718592,-0.1013506324
21638,0.005482505722,-0.2915111349
21639,-0.2020969521,-0.2957976194
21640,-0.2117081465,-0.09945391454
21641,-0.09973544233,-0.2000013608
21642,-0.09791307659,-0.2022736243
21643,-0.1910614059,-0.1007665713
21644,-0.1984675932,-0.3009180993
21645,0.007221948838,-0.3043518212
21646,0.007223748021,-0.1020961112
2671,0.3106395521,-0.4989594671
2672,-0.6973055366,-0.5063443086
2673,1.293145819,-0.497704609
2674,0.3021863363,0.4956391295
2675,0.2911461112,-1.489436679
2709,0.3118285684,-0.4985269534
2710,-0.7042936593,-0.4950801442
2711,1.303526205,-0.494288908
2712,0.3065920699,0.4882205254
2713,0.2952401457,-1.502392002
2723,0.3127723453,-0.4956624988
2724,-0.6991008821,-0.5116416046
2725,1.334278208,-0.4747492535
2726,0.3018055241,0.5034322345
2727,0.2636819524,-1.505396232
21736,0.3104573501,-0.4990009629
21737,-0.6974872971,-0.506017317
21738,1.291572976,-0.4971025726
21739,0.3022258499,0.4956711753
21740,0.291337258,-1.489626679
21774,0.3193427697,-0.4980032087
21775,-0.7027863823,-0.4955032471
21776,1.303696663,-0.4943491465
21777,0.3066603459,0.4879555347
21778,0.2968983384,-1.501926043
21786,0.3129508046,-0.4956310779
21787,-0.6981944087,-0.5108047038
21788,1.334398208,-0.4742031338
21789,0.3020994511,0.5034009156
21790,0.2686271533,-1.501492901
21753,0.2797376618,-0.484308279
21754,-0.681578072,-0.5060259293
21755,1.278312771,-0.4861364588
21756,0.2989497895,0.4898274609
21757,0.2888183554,-1.487545229
21758,0.2738161953,-0.5274805253
21759,-0.808022792,-0.4673657101
21760,1.314035286,-0.4945295869
21761,0.2952490248,0.4992737234
21762,0.3001947377,0.492755454
21763,0.300882275,-1.438277989
2688,0.2800280088,-0.483384555
2689,-0.6820347062,-0.5063192689
2690,1.279405344,-0.4863466047
2691,0.2989557315,0.4897507088
2692,0.2878528867,-1.487699542
2693,0.2691885809,-0.5352510331
2694,-0.8029222983,-0.4676088934
2695,1.313925745,-0.4944047525
2696,0.2951874561,0.4988577889
2697,0.3001123055,0.4929304998
2698,0.3009391282,-1.441746062
3097,0.3072477943,-1.499466698
3098,-0.6986141182,-0.4681474958
3099,-0.7110185319,-2.496602021
3100,1.299099421,-2.489798335
3101,1.311929597,-0.5048465269
3102,0.3057976444,-1.495990122
3103,0.2983866333,-1.497015697
3104,-0.7002551094,-0.4982379133
3105,-0.7446172737,-2.488648063
3106,1.266733268,-2.510200074
3107,1.387709439,-0.4658112704
3108,1.286871599,-0.4918173439
3109,-0.7134475087,-0.4938457267
3110,-0.6777016304,-2.462606698
3111,1.297168224,-2.488497699
3112,0.2945205184,-1.495257343
3113,0.2942209265,-1.473431291
3114,0.2942304108,-1.490198063
3115,0.263000766,-1.516677754
3118,0.274382877,-1.462791138
3119,-0.6922610317,-0.4740945145
3120,-0.6931277954,-2.494199906
3121,1.278110328,-2.475077905
3122,0.9097872361,-0.8102184528
22103,0.3073079599,-1.499409542
22104,-0.6996626673,-0.468103275
22105,-0.7099655643,-2.496854406
22106,1.299304098,-2.489397876
22107,1.312892534,-0.504539105
22108,0.3086123788,-1.496718747
22109,0.2984483948,-1.496861385
22110,-0.7001707333,-0.4982006289
22111,-0.7445365862,-2.48835522
22112,1.266044736,-2.510900991
22113,1.388352282,-0.4658886652
22114,1.286644442,-0.4916997658
22115,-0.7135908109,-0.4938132122
22116,-0.6764979232,-2.462336239
22117,1.296632349,-2.488605865
22118,0.2939660319,-1.495093031
22119,0.2862637108,-1.452164051
22120,0.2942304108,-1.490198063
22121,0.2634952805,-1.517126744
22124,0.2741952615,-1.462436732
22122,-0.7469844297,-0.4581061587
22125,-0.6916788287,-0.4734960281
22126,-0.6941809142,-2.494551375
22127,1.277573079,-2.474837447
22128,1.330038822,-0.4883141748
3276,0.307814902,-1.492815668
3277,0.2968058105,-1.494458615
3278,0.2884842022,-1.483711476
3281,-0.7036419185,-1.508710374
3280,-0.7054248799,-1.503379364
3279,-0.6961200229,-1.491883012
3282,1.302049215,-1.491509719
3283,1.289528073,-1.497542385
3284,1.292013499,-1.491892479
3288,0.2953883949,-0.506969492
3287,0.2791612185,-0.519556924
3285,0.2953340636,-0.5021190619
3286,0.2996377592,-0.4890800025
3289,0.2944932404,-2.498935042
3290,0.2994682179,-2.497288167
3291,0.277038157,-2.497121927
3294,0.3033745697,-1.494712937
3293,0.2853499945,-1.506393472
3292,0.2956671793,-1.49659594
3299,0.3028048669,-1.483792964
3304,0.2948521946,-1.498256604
3303,0.291345563,-1.492851196
3300,0.3001136312,-1.498858167
3301,0.3039578262,-1.481647183
3302,0.2978181144,-1.481092021
22232,0.307679902,-1.492883283
22233,0.2953960678,-1.494830542
22234,0.2884997804,-1.483733862
22237,-0.7035119185,-1.508565604
22236,-0.7069908959,-1.503124322
22235,-0.6930585502,-1.492417876
22238,1.302380497,-1.490559261
22239,1.289428073,-1.497554771
22240,1.292218634,-1.491885323
22244,0.2952460741,-0.5069958128
22243,0.2827617218,-0.5183672141
22242,0.2984982145,-0.4911696304
22241,0.2953924977,-0.5018549983
22245,0.2938924144,-2.499350271
22246,0.2993729429,-2.497265781
22247,0.2771735714,-2.497124312
22250,0.3036296398,-1.494210094
22249,0.285087551,-1.506460628
22248,0.2956102897,-1.496675481
22255,0.3024785273,-1.483741037
22258,0.2942082227,-1.498311833
22257,0.291338084,-1.492155321
22256,0.2946706954,-1.48326551